Time,HeatExchanger01.S001,PumpStation01.S002
2025-09-13 08:00:00,423.53,3.069
2025-09-13 08:05:00,423.73,3.466
2025-09-13 08:10:00,425.34,3.176
2025-09-13 08:15:00,432.6,3.025
2025-09-13 08:20:00,426.32,2.985
2025-09-13 08:25:00,427.54,3.271
2025-09-13 08:30:00,427.99,3.284
2025-09-13 08:35:00,419.21,2.806
2025-09-13 08:40:00,426.88,3.259
2025-09-13 08:45:00,427.38,3.32
2025-09-13 08:50:00,426.74,3.244
2025-09-13 08:55:00,418.34,3.193
2025-09-13 09:00:00,430.15,3.134
2025-09-13 09:05:00,430.2,3.082
2025-09-13 09:10:00,422.29,3.196
2025-09-13 09:15:00,420.67,3.301
2025-09-13 09:20:00,422.3,3.096
2025-09-13 09:25:00,419.65,3.268
2025-09-13 09:30:00,426.89,3.525
2025-09-13 09:35:00,435.44,3.078
